,datetime,core_temp,bark_temp
4410,2021-02-03,302.59,302.64
4409,2021-02-03,302.57,302.67999999999995
4408,2021-02-03,302.53,302.64
4407,2021-02-03,302.53,302.67999999999995
4406,2021-02-03,302.5,302.65999999999997
4405,2021-02-03,302.46,302.64
4404,2021-02-03,302.46,302.65999999999997
4403,2021-02-03,302.44,302.62
4402,2021-02-03,302.4,302.65999999999997
4401,2021-02-03,302.4,302.62
4400,2021-02-03,302.4,302.64
4399,2021-02-03,302.38,302.62
4398,2021-02-03,302.34,302.62
4397,2021-02-03,302.34,302.62
4396,2021-02-03,302.32,302.58
4395,2021-02-03,302.27,302.59999999999997
4394,2021-02-03,302.27,302.64
4393,2021-02-03,302.27,302.62
4392,2021-02-03,302.21,302.62
4391,2021-02-03,302.22999999999996,302.64
4390,2021-02-03,302.21,302.56
4389,2021-02-03,302.16999999999996,302.58
4388,2021-02-03,302.15,302.58
4387,2021-02-03,302.15,302.58
4386,2021-02-03,302.10999999999996,302.53999999999996
4385,2021-02-03,302.09,302.53999999999996
4384,2021-02-03,302.09,302.58
4383,2021-02-03,302.09,302.58
4382,2021-02-03,302.09,302.56
4381,2021-02-03,302.07,302.56
4380,2021-02-03,302.03,302.58
4379,2021-02-03,302.03,302.58
4378,2021-02-03,302.03,302.53999999999996
4377,2021-02-03,302.0,302.51
4376,2021-02-03,301.97999999999996,302.51
4375,2021-02-03,301.96,302.56
4374,2021-02-03,301.96,302.51
4373,2021-02-03,301.96,302.51
4372,2021-02-03,301.91999999999996,302.53999999999996
4371,2021-02-03,301.9,302.51
4370,2021-02-03,301.9,302.51
4369,2021-02-03,301.9,302.48999999999995
4368,2021-02-03,301.88,302.46999999999997
4367,2021-02-03,301.84,302.46999999999997
4366,2021-02-03,301.84,302.46999999999997
4365,2021-02-03,301.84,302.46999999999997
4364,2021-02-03,301.79999999999995,302.48999999999995
4363,2021-02-03,301.77,302.46999999999997
4362,2021-02-03,301.77,302.45
4361,2021-02-03,301.77,302.48999999999995
4360,2021-02-03,301.75,302.46999999999997
4359,2021-02-03,301.75,302.45
4358,2021-02-03,301.71,302.42999999999995
4357,2021-02-03,301.71,302.42999999999995
4356,2021-02-03,301.71,302.42999999999995
4355,2021-02-03,301.69,302.39
4354,2021-02-03,301.66999999999996,302.39
4353,2021-02-03,301.65,302.39
4352,2021-02-03,301.65,302.34999999999997
4351,2021-02-03,301.60999999999996,302.33
4350,2021-02-03,301.59,302.39
4349,2021-02-03,301.59,302.37
4348,2021-02-03,301.59,302.33
4347,2021-02-03,301.57,302.37
4346,2021-02-03,301.53,302.33
4345,2021-02-03,301.54999999999995,302.31
4344,2021-02-03,301.53,302.34999999999997
4343,2021-02-03,301.53,302.28999999999996
4342,2021-02-03,301.53,302.34999999999997
4341,2021-02-03,301.53,302.26
4340,2021-02-03,301.5,302.28999999999996
4339,2021-02-03,301.46,302.28999999999996
4338,2021-02-03,301.46,302.26
