"Date and Time","internal_temp"
"1/14/2021, 7:08:29 AM","28.28"
"1/14/2021, 7:05:23 AM","28.24"
"1/14/2021, 6:59:11 AM","28.24"
"1/14/2021, 6:56:14 AM","28.22"
"1/14/2021, 6:52:59 AM","28.22"
"1/14/2021, 6:49:53 AM","28.22"
"1/14/2021, 6:46:47 AM","28.18"
"1/14/2021, 6:43:41 AM","28.20"
"1/14/2021, 6:40:35 AM","28.16"
"1/14/2021, 6:37:29 AM","28.11"
"1/14/2021, 6:34:23 AM","28.16"
"1/14/2021, 6:31:17 AM","28.14"
"1/14/2021, 6:21:57 AM","28.11"
"1/14/2021, 6:18:51 AM","28.09"
"1/14/2021, 6:15:44 AM","28.07"
"1/14/2021, 6:12:37 AM","28.07"
"1/14/2021, 6:09:30 AM","28.07"
"1/14/2021, 6:06:24 AM","28.03"
"1/14/2021, 6:03:16 AM","27.99"
"1/14/2021, 6:00:09 AM","28.01"
"1/14/2021, 5:57:01 AM","27.97"
"1/14/2021, 5:53:54 AM","27.99"
"1/14/2021, 5:50:47 AM","27.95"
"1/14/2021, 5:47:40 AM","27.95"
"1/14/2021, 5:44:33 AM","27.93"
"1/14/2021, 5:41:26 AM","27.91"
"1/14/2021, 5:38:19 AM","27.86"
"1/14/2021, 5:35:12 AM","27.86"
"1/14/2021, 5:32:05 AM","27.86"
"1/14/2021, 5:29:02 AM","27.84"
"1/14/2021, 5:25:55 AM","27.82"
"1/14/2021, 5:22:48 AM","27.84"
"1/14/2021, 5:19:41 AM","27.84"
"1/14/2021, 5:16:34 AM","27.82"
"1/14/2021, 5:13:27 AM","27.80"
"1/14/2021, 5:10:20 AM","27.80"
"1/14/2021, 5:07:13 AM","27.80"
"1/14/2021, 5:04:05 AM","27.78"
"1/14/2021, 5:00:58 AM","27.76"
"1/14/2021, 4:57:50 AM","27.76"
"1/14/2021, 4:54:43 AM","27.74"
"1/14/2021, 4:51:35 AM","27.72"
"1/14/2021, 4:48:28 AM","27.74"
"1/14/2021, 4:45:20 AM","27.72"
"1/14/2021, 4:42:13 AM","27.68"
"1/14/2021, 4:35:58 AM","27.70"
"1/14/2021, 4:32:50 AM","27.64"
"1/14/2021, 4:29:43 AM","27.66"
"1/14/2021, 4:26:35 AM","27.61"
"1/14/2021, 4:23:28 AM","27.61"
"1/14/2021, 4:20:20 AM","27.61"
"1/14/2021, 4:17:13 AM","27.55"
"1/14/2021, 4:14:05 AM","27.61"
"1/14/2021, 4:11:22 AM","27.61"
"1/14/2021, 4:08:15 AM","27.61"
"1/14/2021, 4:05:07 AM","27.57"
"1/14/2021, 4:01:59 AM","27.57"
"1/14/2021, 3:58:51 AM","27.57"
"1/14/2021, 3:55:43 AM","27.57"
"1/14/2021, 3:52:35 AM","27.55"
"1/14/2021, 3:49:27 AM","27.55"
"1/14/2021, 3:46:19 AM","27.51"
"1/14/2021, 3:43:11 AM","27.55"
"1/14/2021, 3:40:03 AM","27.53"
"1/14/2021, 3:36:55 AM","27.55"
"1/14/2021, 3:30:39 AM","27.57"
"1/14/2021, 3:27:31 AM","27.55"
"1/14/2021, 3:24:22 AM","27.57"
"1/14/2021, 3:21:14 AM","27.57"
"1/14/2021, 3:18:06 AM","27.59"
"1/14/2021, 3:14:58 AM","27.55"
"1/14/2021, 3:11:50 AM","27.55"
"1/14/2021, 3:08:42 AM","27.55"
"1/14/2021, 3:05:33 AM","27.55"
"1/14/2021, 3:02:25 AM","27.59"
"1/14/2021, 2:59:17 AM","27.57"
"1/14/2021, 2:56:09 AM","27.59"
"1/14/2021, 2:53:01 AM","27.57"
"1/14/2021, 2:49:52 AM","27.64"
"1/14/2021, 2:43:36 AM","27.64"
"1/14/2021, 2:40:28 AM","27.61"
"1/14/2021, 2:37:19 AM","27.61"
"1/14/2021, 2:34:11 AM","27.64"
"1/14/2021, 2:31:03 AM","27.64"
"1/14/2021, 2:27:54 AM","27.66"
"1/14/2021, 2:24:46 AM","27.66"
"1/14/2021, 2:21:38 AM","27.66"
"1/14/2021, 2:18:29 AM","27.66"
"1/14/2021, 2:15:21 AM","27.68"
"1/14/2021, 2:09:04 AM","27.70"
"1/14/2021, 2:05:59 AM","27.68"
"1/14/2021, 2:02:51 AM","27.68"
"1/14/2021, 1:59:42 AM","27.61"
"1/14/2021, 1:56:34 AM","27.68"
"1/14/2021, 1:53:25 AM","27.72"
"1/14/2021, 1:50:16 AM","27.74"
"1/14/2021, 1:47:12 AM","27.74"
"1/14/2021, 1:44:04 AM","27.74"
"1/14/2021, 1:40:55 AM","27.72"
"1/14/2021, 1:37:46 AM","27.74"
"1/14/2021, 1:31:29 AM","27.76"
"1/14/2021, 1:28:21 AM","27.74"
"1/14/2021, 1:25:12 AM","27.74"
"1/14/2021, 1:22:03 AM","27.74"
"1/14/2021, 1:18:55 AM","27.74"
"1/14/2021, 1:15:46 AM","27.74"
"1/14/2021, 1:12:37 AM","27.78"
"1/14/2021, 1:09:29 AM","27.80"
"1/14/2021, 1:06:20 AM","27.80"
"1/14/2021, 1:03:11 AM","27.80"
"1/14/2021, 12:56:54 AM","27.80"
"1/14/2021, 12:53:45 AM","27.82"
"1/14/2021, 12:50:37 AM","27.84"
"1/14/2021, 12:44:19 AM","27.80"
"1/14/2021, 12:41:11 AM","27.84"
"1/14/2021, 12:38:02 AM","27.86"
"1/14/2021, 12:34:53 AM","27.86"
